Instance MapleLcmDistChrBt MapleLcmDistChrBT-v1-r1000-lbdlim-10 MapleLcmDistChrBT-v2-r500-lbdlim-14 MapleLCMDist-v1-r1000-lbdlim-10 MapleLCMDist-v2-r500-lbdlim-14 MapleLCMDist
mp1-blockpuzzle-9x9-s5-free3.cnf 264.991 418.511 279.344 214.173 235.199 220.048 
mp1-blockpuzzle-9x9-s7-free8.cnf 3436.59 1e+100 3710.27 4489.4 3298.55 2865.91 
mp1-blockpuzzle-9x9-s7-free9.cnf 1539.69 3209.55 3130.92 2574.47 2974.82 3921.53 
mp1-blockpuzzle-9x9-s8-free3.cnf 285.342 252.003 295.696 239.019 259.425 268.67 
mp1-blockpuzzle-9x9-s8-free7.cnf 2999.27 3592.55 4027.4 2779.0 2987.44 3161.54 
mp1-bsat180-648.cnf 62.8457 79.359 78.8635 79.7424 75.7675 64.9943 
mp1-bsat192-689.cnf 113.606 101.904 115.312 100.406 111.771 105.24 
mp1-bsat201-707.cnf 185.535 212.434 194.561 187.383 201.53 190.115 
mp1-bsat210-739.cnf 400.315 423.887 416.197 389.952 374.632 408.411 
mp1-klieber2017s-0300-032-t12.cnf 3208.38 2455.83 1439.3 1177.97 320.055 847.867 
mp1-klieber2017s-0300-033-t12.cnf 3263.35 1e+100 4740.75 1e+100 3257.0 2804.69 
mp1-klieber2017s-0300-034-t12.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-klieber2017s-0300-035-t12.cnf 4980.97 1e+100 4385.15 1e+100 1e+100 3496.07 
mp1-klieber2017s-0490-022-t12.cnf 22.5728 39.0812 23.1494 160.908 229.14 31.5676 
mp1-klieber2017s-0490-023-t12.cnf 24.9176 37.5212 23.2384 209.966 331.084 461.911 
mp1-klieber2017s-0490-024-t12.cnf 203.979 172.513 514.32 276.425 199.211 329.237 
mp1-klieber2017s-0500-022-t12.cnf 271.046 142.961 215.695 169.283 141.169 241.77 
mp1-klieber2017s-0500-023-t12.cnf 137.017 111.411 101.224 55.3994 67.0265 310.414 
mp1-klieber2017s-0500-024-t12.cnf 311.349 639.829 217.451 529.696 549.262 748.482 
mp1-klieber2017s-1000-023-eq.cnf 1310.07 1528.51 1386.68 1364.49 1424.11 1339.24 
mp1-klieber2017s-1000-024-eq.cnf 2141.06 2398.97 2256.42 2144.63 2275.97 2266.47 
mp1-klieber2017s-1200-022-eq.cnf 775.233 859.986 929.28 781.82 929.964 795.155 
mp1-klieber2017s-1200-023-eq.cnf 1560.91 1623.45 1712.82 1438.55 1547.96 1494.98 
mp1-klieber2017s-1200-024-eq.cnf 2737.0 2819.26 2916.5 2430.17 2611.68 2756.41 
mp1-klieber2017s-1600-022-eq.cnf 769.519 916.134 933.344 797.739 977.93 877.942 
mp1-klieber2017s-1600-023-eq.cnf 1572.46 1766.86 1956.71 1553.24 1659.76 1529.3 
mp1-klieber2017s-1600-024-eq.cnf 3704.07 4192.54 4874.34 3582.7 3600.32 3341.77 
mp1-klieber2017s-2000-022-eq.cnf 1000.54 1024.66 974.708 902.56 996.726 976.439 
mp1-klieber2017s-2000-023-eq.cnf 1545.01 1805.47 1797.3 1598.08 1897.54 1651.03 
mp1-ps-5000-21250-3-0-0.6-0-1.45-0.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-ps-5000-21250-3-0-0.6-0-1.45-2.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-ps-5000-21250-3-0-0.6-0-1.45-4.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
mp1-ps-5000-21250-3-0-0.6-0-1.45-6.cnf 1e+100 1e+100 1e+100 1e+100 1e+100 1e+100 
